,Project Code,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Line Item Insurance (USD),Scheduled Delivery Date Year,Scheduled Delivery Date Month,Scheduled Delivery Date Day,Delivered to Client Date Year,Delivered to Client Date Month,Delivered to Client Date Day,Delivery Recorded Date Year,Delivery Recorded Date Month,Delivery Recorded Date Day
12,102-NG-T01,Nigeria,PMO - US,0,EXW,Air,HRDT,HIV test,EY Laboratories,"HIV 1/2, InstantChek HIV 1+2 Kit, 100 Tests","HIV 1/2, InstantChek HIV 1+2 Kit",InstantCHEK,300mg,Test kit,100,10,850.0,85.0,0.85,"EY Laboratories, USA",1,241.24388531125328,2007,1,10,2007,1,10,2007,1,10
13,107-RW-T01,Rwanda,PMO - US,0,EXW,Air,ARV,Adult,CIPLA LIMITED,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,10000,99800.0,9.98,0.17,"Cipla, Goa, India",1,241.24388531125328,2007,2,27,2007,2,27,2007,2,27
14,106-HT-T01,Haiti,PMO - US,0,EXW,Air,HRDT,HIV test,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,300mg,Test kit,100,750,60000.0,80.0,0.8,ABBVIE GmbH & Co.KG Wiesbaden,1,241.24388531125328,2007,1,18,2007,1,18,2007,1,18
15,113-ZW-T01,Zimbabwe,PMO - US,0,CIP,Air,ARV,Pediatric,BRISTOL-MYERS SQUIBB,"#102198**Didanosine 200mg [Videx], tablets, 60 Tabs",Didanosine,Videx,200mg,Tablet,60,579,14764.5,25.5,0.42,"BMS Meymac, France",1,241.24388531125328,2007,3,19,2007,3,19,2007,3,19
16,107-RW-T01,Rwanda,PMO - US,0,EXW,Air,HRDT,HIV test,Premier Medical Corporation Ltd.,"HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit, 30 Tests","HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit",First Response,300mg,Test kit,30,2000,33000.0,16.5,0.55,Premier Med. Corp Ltd. India,1,241.24388531125328,2007,3,29,2007,3,29,2007,3,29
17,109-TZ-T01,Tanzania,PMO - US,0,CIP,Air,ARV,Pediatric,BRISTOL-MYERS SQUIBB,"Didanosine 2g [Videx], powder for oral solution 10mg/ml, reconstitute to 200 ml",Didanosine,Videx,2g,Powder for oral solution,200,712,8964.08,12.59,0.06,"BMS Meymac, France",1,241.24388531125328,2007,6,6,2007,6,6,2007,6,6
18,102-NG-T01,Nigeria,PMO - US,0,EXW,Air,HRDT,HIV test,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,300mg,Test kit,100,1000,80000.0,80.0,0.8,ABBVIE GmbH & Co.KG Wiesbaden,1,128.0,2007,6,19,2007,6,19,2007,6,19
19,102-NG-T01,Nigeria,PMO - US,0,EXW,Air,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,300mg,Test kit,20,7500,202500.0,27.0,1.35,Chembio Diagnostics Sys. Inc.,1,241.24388531125328,2007,6,19,2007,6,19,2007,6,19
20,104-CI-T01,Côte d'Ivoire,PMO - US,0,CIP,Air,ARV,Pediatric,BRISTOL-MYERS SQUIBB,"#102198**Didanosine 200mg [Videx], tablets, 60 Tabs",Didanosine,Videx,200mg,Tablet,60,5513,140581.5,25.5,0.42,"BMS Meymac, France",1,224.93,2007,10,2,2007,10,2,2007,10,2
21,108-VN-T01,Vietnam,PMO - US,0,EXW,Air,ARV,Pediatric,Aurobindo Pharma Limited,"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",Nevirapine,Generic,10mg/ml,Oral suspension,240,1000,1920.0,1.92,0.01,"Aurobindo Unit III, India",1,3.07,2007,10,15,2007,10,15,2007,10,15
22,108-VN-T01,Vietnam,PMO - US,0,FCA,Air,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,500,41095.0,82.19,0.68,ABBVIE Ludwigshafen Germany,1,65.75,2007,8,27,2007,8,27,2007,8,27
23,100-HT-T01,Haiti,PMO - US,0,EXW,Air,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,300mg,Test kit,100,750,53992.5,71.99,0.72,Inverness Japan,1,86.39,2007,8,13,2007,8,21,2007,8,21
24,100-HT-T01,Haiti,PMO - US,0,EXW,Air,HRDT,HIV test,Orasure Technologies Inc.,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests","HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit",OraQuick,300mg,Test kit,100,25,8750.0,350.0,3.5,"Pacific Biotech, Thailand",1,14.0,2007,8,25,2007,8,25,2007,8,25
25,109-TZ-T01,Tanzania,PMO - US,0,EXW,Air,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,300mg,Test kit,25,10000,200000.0,20.0,0.8,"Standard Diagnostics, Korea",1,320.0,2007,10,16,2007,10,16,2007,10,16
26,109-TZ-T01,Tanzania,PMO - US,0,EXW,Air,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,300mg,Test kit,25,10000,200000.0,20.0,0.8,"Standard Diagnostics, Korea",1,320.0,2007,11,22,2007,11,22,2007,11,22
27,109-TZ-T01,Tanzania,PMO - US,0,EXW,Air,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,300mg,Test kit,25,10000,200000.0,20.0,0.8,"Standard Diagnostics, Korea",1,320.0,2007,11,22,2007,11,22,2007,11,22
28,117-ET-T01,Ethiopia,PMO - US,0,EXW,Air,ARV,Adult,Aurobindo Pharma Limited,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,30mg,Capsule,60,64000,99200.0,1.55,0.03,"Aurobindo Unit III, India",1,158.72,2007,11,20,2007,11,20,2007,11,20
29,102-NG-T01,Nigeria,PMO - US,0,EXW,Air,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,300mg,Test kit,20,10000,270000.0,27.0,1.35,Chembio Diagnostics Sys. Inc.,1,432.0,2007,10,3,2007,10,3,2007,10,3
30,108-VN-T01,Vietnam,PMO - US,0,EXW,Air,ARV,Adult,"GILEAD SCIENCES IRELAND, INC.","Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Viread,300mg,Tablet,30,1000,17000.0,17.0,0.57,Gilead(Nycomed) Oranienburg DE,1,27.2,2008,1,21,2008,1,21,2008,1,21
31,108-VN-T01,Vietnam,PMO - US,0,EXW,Air,ARV,Adult,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,400,3352.0,8.38,0.14,"Ranbaxy, Paonta Shahib, India",1,5.36,2008,1,21,2008,1,21,2008,1,21
32,107-RW-T01,Rwanda,PMO - US,0,EXW,Air,HRDT,HIV test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,300mg,Test kit - Ancillary,100,1500,15.0,0.01,0.0,Inverness Japan,1,0.02,2008,1,31,2008,1,31,2008,1,31
33,123-NG-T01,Nigeria,PMO - US,0,EXW,Air,HRDT,HIV test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,300mg,Test kit - Ancillary,100,650,6.5,0.01,0.0,Inverness Japan,1,0.01,2008,2,5,2008,2,5,2008,2,5
34,125-HT-T01,Haiti,PMO - US,0,EXW,Air,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Capillus HIV Kit, 100 Tests","HIV 1/2, Capillus HIV Kit",Capillus,300mg,Test kit,100,2,278.0,139.0,1.39,"Trinity Biotech, Plc",1,0.44,2008,2,18,2008,2,18,2008,2,18
35,104-CI-T01,Côte d'Ivoire,PMO - US,0,EXW,Air,HRDT,HIV test,BIO-RAD LABORATORIES (FRANCE),"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests","HIV, Genie II HIV-1/HIV-2 Kit",Genie,300mg,Test kit,40,476,36176.0,76.0,1.9,Bio-Rad Laboratories,1,57.88,2008,6,17,2008,6,17,2008,6,17
36,104-CI-T01,Côte d'Ivoire,PMO - US,0,EXW,Air,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,300mg,Test kit,25,659,13180.0,20.0,0.8,"Standard Diagnostics, Korea",1,25.83,2009,3,19,2009,3,19,2009,3,19
37,102-GY-T01,Guyana,PMO - US,0,EXW,Air,HRDT,HIV test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,300mg,Test kit - Ancillary,100,240,2.4,0.01,0.0,Inverness Japan,1,0.0,2008,4,9,2008,4,1,2008,4,1
38,102-GY-T01,Guyana,PMO - US,0,EXW,Air,HRDT,HIV test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,300mg,Test kit - Ancillary,100,213,2.13,0.01,0.0,Inverness Japan,1,0.0,2008,7,28,2008,7,28,2008,7,28
39,113-ZW-T01,Zimbabwe,PMO - US,0,EXW,Air,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,300mg,Test kit,100,1634,117631.66,71.99,0.72,Inverness Japan,1,188.21,2008,11,17,2008,11,17,2008,11,17
40,123-NG-T01,Nigeria,PMO - US,0,EXW,Air,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,300mg,Test kit,20,1425,38475.0,27.0,1.35,Chembio Diagnostics Sys. Inc.,1,61.56,2008,4,17,2008,4,17,2008,4,17
41,119-NA-T01,Namibia,PMO - US,0,EXW,Air,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,300mg,Test kit,100,142,10222.58,71.99,0.72,Inverness Japan,1,16.36,2008,6,4,2008,6,4,2008,6,4
42,108-VN-T01,Vietnam,PMO - US,0,EXW,Air,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,8400,96432.0,11.48,0.38,Mylan (formerly Matrix) Nashik,1,154.29,2008,6,3,2008,6,3,2008,6,3
43,116-ZA-T01,South Africa,PMO - US,0,DDP,Truck,ARV,Adult,S. BUYS WHOLESALER,"Saquinavir 200mg [Invirase], capsules, 270 Caps",Saquinavir,Invirase,200mg,Capsule,270,6,405.06,67.51,0.25,Roche Basel,1,0.65,2008,4,24,2008,4,24,2008,4,24
44,116-ZA-T01,South Africa,PMO - US,0,DDP,Truck,ARV,Pediatric,S. BUYS WHOLESALER,"Stavudine 1mg/ml [Zerit], powder for oral solution, Bottle, 200 ml",Stavudine,Zerit,1mg/ml,Powder for oral solution,200,600,870.0,1.45,0.01,"BMS Meymac, France",0,1.39,2008,4,24,2008,4,24,2008,4,24
45,108-VN-T01,Vietnam,PMO - US,0,CIP,Air,ARV,Pediatric,BRISTOL-MYERS SQUIBB,"Didanosine 25mg [Videx], chewable tablets, 60 Tabs",Didanosine,Videx,25mg,Chewable/dispersible tablet,60,400,2800.0,7.0,0.12,"BMS Meymac, France",1,4.48,2008,7,12,2008,7,12,2008,7,12
46,102-NG-T01,Nigeria,PMO - US,0,EXW,Air,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,300mg,Test kit,100,5498,439785.02,79.99,0.8,Inverness Japan,1,703.66,2008,7,9,2008,7,9,2008,7,9
47,102-NG-T01,Nigeria,PMO - US,0,EXW,Air,HRDT,HIV test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,300mg,Test kit - Ancillary,100,5498,54.98,0.01,0.0,Inverness Japan,1,0.09,2008,7,9,2008,7,4,2008,7,4
48,117-ET-T01,Ethiopia,PMO - US,0,DDP,Air,HRDT,HIV test,TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,300mg,Test kit,20,15,691.42,46.09,2.3,"Trinity Biotech, Plc",1,1.11,2008,5,9,2008,5,9,2008,5,9
49,108-VN-T01,Vietnam,PMO - US,0,EXW,Air,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,1344,18359.04,13.66,0.46,Mylan (formerly Matrix) Nashik,1,29.37,2008,9,19,2008,9,19,2008,9,19
50,116-ZA-T01,South Africa,PMO - US,0,DDP,Truck,ARV,Adult,S. BUYS WHOLESALER,"Stavudine 20mg [Zerit], capsules, 60 Caps",Stavudine,Zerit,20mg,Capsule,60,20,103.4,5.17,0.09,"BMS Meymac, France",1,0.2,2008,8,20,2008,8,20,2008,8,20
51,116-ZA-T01,South Africa,PMO - US,0,DDP,Truck,ARV,Adult,S. BUYS WHOLESALER,"Didanosine EC 250mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps",Didanosine EC,Videx EC,250mg,Delayed-release capsules - blister,30,100,1906.0,19.06,0.64,"BMS Meymac, France",1,3.05,2008,8,20,2008,5,8,2008,5,8
52,116-ZA-T01,South Africa,PMO - US,0,DDP,Truck,ARV,Pediatric,S. BUYS WHOLESALER,"Stavudine 1mg/ml [Zerit], powder for oral solution, Bottle, 200 ml",Stavudine,Zerit,1mg/ml,Powder for oral solution,200,670,1025.1,1.53,0.01,"BMS Meymac, France",0,1.64,2008,8,20,2008,5,8,2008,5,8
53,109-TZ-T01,Tanzania,PMO - US,0,CIP,Air,ARV,Adult,BRISTOL-MYERS SQUIBB,"Didanosine EC 400mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps",Didanosine EC,Videx EC,400mg,Delayed-release capsules - blister,30,2597,61470.99,23.67,0.79,"BMS Meymac, France",1,98.35,2008,9,2,2008,9,2,2008,9,2
54,106-HT-T01,Haiti,PMO - US,0,EXW,Air,HRDT,HIV test,Orasure Technologies Inc.,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests","HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit",OraQuick,300mg,Test kit,100,28,9800.0,350.0,3.5,"Pacific Biotech, Thailand",1,15.68,2008,9,30,2008,9,30,2008,9,30
55,106-HT-T01,Haiti,PMO - US,0,EXW,Air,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Capillus HIV Kit, 100 Tests","HIV 1/2, Capillus HIV Kit",Capillus,300mg,Test kit,100,84,11676.0,139.0,1.39,"Trinity Biotech, Plc",1,22.88,2008,11,24,2008,11,24,2008,11,24
56,116-ZA-T01,South Africa,PMO - US,0,DDP,Truck,ARV,Adult,S. BUYS WHOLESALER,"Abacavir 300mg [Ziagen], tablets, Blister 6 x 10 Tabs",Abacavir,Ziagen,300mg,Tablet - blister,60,30,1049.4,34.98,0.58,GSK Ware (UK),1,1.68,2008,6,12,2008,6,9,2008,6,9
57,108-VN-T01,Vietnam,PMO - US,0,EXW,Air,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,38640,92736.0,2.4,0.04,"Aurobindo Unit III, India",1,148.38,2008,9,19,2008,9,19,2008,9,19
58,112-NG-T01,Nigeria,PMO - US,0,EXW,Air,ACT,ACT,IDA FOUNDATION,"Artemether/Lumefantrine 20/120mg [Coartem], scored tablets, Blister 30 x 18 Tabs",Artemether/Lumefantrine,Coartem,20/120mg,Tablet - FDC + blister,540,34,1547.68,45.52,0.08,"Novartis Pharma AG, Switzerland",1,2.48,2009,2,25,2008,9,9,2008,9,9
59,108-VN-T01,Vietnam,PMO - US,0,EXW,Air,ARV,Adult,Aurobindo Pharma Limited,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,30mg,Capsule,60,42000,60900.0,1.45,0.02,"Aurobindo Unit III, India",1,97.44,2008,10,8,2008,10,8,2008,10,8
60,116-ZA-T01,South Africa,PMO - US,0,DDP,Truck,ARV,Pediatric,S. BUYS WHOLESALER,"Nevirapine 10mg/ml [Viramune], oral suspension, Bottle, 240 ml",Nevirapine,Viramune,10mg/ml,Oral suspension,240,50,696.5,13.93,0.06,"BI, Ingelheim, Germany",1,1.11,2008,7,10,2008,7,8,2008,7,8
61,108-VN-T01,Vietnam,PMO - US,0,EXW,Air,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,16800,171192.0,10.19,0.34,Mylan (formerly Matrix) Nashik,1,335.54,2008,11,27,2008,11,27,2008,11,27
62,102-GY-T01,Guyana,PMO - US,0,CIP,Air,MRDT,Malaria,ZEPHYR BIOMEDICALS,"Malaria Paramax-3 Kit, 25 Tests",Malaria Paramax-3 Kit,Paramax,300mg,Test kit,25,98,3675.0,37.5,1.5,Not Applicable,1,5.88,2008,8,15,2008,8,15,2008,8,15
63,110-ZM-T01,Zambia,PMO - US,0,EXW,Air,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,300mg,Test kit,100,4500,323955.0,71.99,0.72,Inverness Japan,1,634.95,2008,10,20,2008,10,20,2008,10,20
64,119-NA-T01,Namibia,PMO - US,0,EXW,Air,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,300mg,Test kit,20,10,320.0,32.0,1.6,"Trinity Biotech, Plc",1,0.51,2008,9,18,2008,9,18,2008,9,18
65,104-CI-T01,Côte d'Ivoire,PMO - US,0,EXW,Air,HRDT,HIV test,BIO-RAD LABORATORIES (FRANCE),"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests","HIV, Genie II HIV-1/HIV-2 Kit",Genie,300mg,Test kit,40,500,38000.0,76.0,1.9,Bio-Rad Laboratories,1,60.8,2008,10,2,2008,10,2,2008,10,2
66,104-CI-T01,Côte d'Ivoire,PMO - US,0,EXW,Air,ACT,ACT,IDA FOUNDATION,"Artesunate+Amodiaquine 50+153mg, tablets, co-blister 6+6 Tabs",Artesunate+Amodiaquine,Generic,50+153mg,Tablet - FDC + co-blister,12,25000,9750.0,0.39,0.03,Ipca Dadra/Nagar Haveli IN,1,19.11,2009,1,23,2009,1,23,2009,1,23
67,131-NG-T01,Nigeria,PMO - US,0,CIP,Air,ARV,Adult,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),"Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg [Atripla], tablets, 30 Tabs",Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate,Atripla,600/200/300mg,Tablet - FDC,30,9,453.6,50.4,1.68,"MSD, Haarlem, NL",1,0.89,2009,3,10,2009,4,8,2009,4,8
68,119-NA-T01,Namibia,PMO - US,0,EXW,Air,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,300mg,Test kit,100,150,10798.5,71.99,0.72,Inverness Japan,1,21.17,2008,10,29,2008,10,29,2008,10,29
69,102-BW-T01,Botswana,PMO - US,0,EXW,Air,HRDT,HIV test - Ancillary,"Trinity Biotech, Plc","#109436**HIV 1, Uni-Gold Recombigen HIV Control, Vial 2 x 0.5 ml","HIV 1, Uni-Gold Recombigen HIV Control, Vial 2 x 0.5 ml",Uni-Gold,300mg,Test kit - Ancillary,2,15,450.0,30.0,15.0,"Trinity Biotech, Plc",1,0.88,2008,11,28,2008,11,28,2008,11,28
70,110-ZM-T01,Zambia,PMO - US,0,EXW,Air,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,300mg,Test kit,25,319,6380.0,20.0,0.8,"Standard Diagnostics, Korea",1,12.5,2009,1,23,2009,1,23,2009,1,23
